title,price,lt,lb
Puri Botanical Residence Rumah Cantik 2 Lantai Siap Huni,Rp 3 Miliar,  108 m²,  160 m²
Puri Botanical Residence Rumah Cantik 2 Lantai Siap Huni,Rp 3 Miliar,  108 m²,  160 m²
Rumah kedoya di Jalan pilar 2 3 Lantai SHM Timur jalan 2 mobil,"Rp 1,39 Miliar",  34 m²,  120 m²
Rumah Kost di Jual Omset Bagus 576 Juta Per Tahun Kwitang Senen Jakarta Pusat,"Rp 6,4 Miliar",  261 m²,  522 m²
Rumah Furnished di Bintaro Area Sektor 2 Dalam Komplek,"Rp 7,5 Miliar",  370 m²,  650 m²
Rumah 2 Lantai dekat ke Jalan Achmad Yani Jakarta Timur,Rp 818 Juta,  30 m²,  59 m²
Murah Rp 46 M Lt 1.160 M2.di Belakang Gedung Wtc..100 M Ke Jl. Sudirman.,Rp 46 Miliar,  1160 m²,  400 m²
"JUAL RUGI..JUAL CEPAT..MURAHH Rp 4,5M Mutiara Pejaten Lt182 Lb300","Rp 4,5 Miliar",  182 m²,  300 m²
Dijual Rumah Murah Butuh Renovasi Di Utan Kayu,"Rp 1,4 Miliar",  159 m²,  180 m²
Rumah klasik 2 Lantai siap huni di Gudang peluru ,Rp 12 Miliar,  430 m²,  400 m²
"Dijual Rumah di Komplek Garuda Pancoran, Jakarta Selatan ",Rp 8 Miliar,  327 m²,  146 m²
"Dijual Rumah di Gandaria, Jakarta Selatan Cocok Untuk Kos2an ","Rp 6,7 Miliar",  282 m²,  149 m²
Andre Tjhia Puri Media Uk 8x15 Lokasi Premium Lebar Jln 3 Mbl Lega,"Rp 3,3 Miliar",  120 m²,  180 m²
"Harga Menarik Rumah Strategis Dan Asri di Sektor 1 Di Bintaro Jaya Jakarta Selatan, Jakarta Selatan","Rp 4,8 Miliar",  300 m²,  200 m²
Andre Tjhia Area Puri Indah House Row Jalan 3 Mobil Lega,"Rp 1,36 Miliar",  68 m²,  98 m²
Rumah Di Jakarta Timur Murah Dekat Angkot Cibubur Pasar Rebo,Rp 365 Juta,  35 m²,  40 m²
"Rumah 2 lantai SHM , dekat MALL , BLOK A. di Taman Palem Lestarii, Jakarta Barat.","Rp 2,5 Miliar",  120 m²,  180 m²
Rumah 2 Lantai Taman Kencana Hadap Barat Daya,"Rp 3,2 Miliar",  200 m²,  300 m²
Rumah 2 lantai 100% siap huni di Pondok Bambu,"Rp 3,5 Miliar",  144 m²,  250 m²
Rumah Kost Di Pondok Pinang Jakarta Selatan,Rp 14 Miliar,  450 m²,  900 m²
Rumah tanjung duren di Jalan salak timur 3 Lantai SHM,"Rp 1,19 Miliar",  36 m²,  100 m²
Rumah 2 Lantai dekat Kota Tua Jakarta Barat,Rp 520 Juta,  27 m²,  42 m²
"Rumah Kosan Income bersih 20jt/bln, 50 Meter Ke Jalan Bangka Raya",Rp 13 Miliar,  619 m²,  350 m²
Rumah Murah Harga Terjangkau SHM Di Keagungan Jakarta Barat,Rp 497 Juta,  22 m²,  37 m²
RUMAH MODERN DAN SIAP HUNI DI KOMPLEK KEUANGAN MENTENG DALAM,Rp 18 Miliar,  535 m²,  350 m²
Di jual Rumah 2 lantai di jalan Keadilan dekat Gajahmada ,Rp 480 Juta,  28 m²,  40 m²
"perumahan Puri Mantion Bolevard , jarang ada",Rp 6 Miliar,  200 m²,  220 m²
Jual Cepat Rumah 2 lantai di Pasar Baru full furnished Jakarta Pusat,Rp 4 Miliar,  135 m²,  225 m²
Rumah Murah 3 Lantai di Taman Surya ,"Rp 2,15 Miliar",  108 m²,  176 m²
Rumah Mewah 7residence Mampang Duren Tiga Lokasi Strategis ,Rp 12 Miliar,  347 m²,  241 m²
Rumah 2 Lantai Dekat Stasiun Sawah Besar Dan Deket Pasar Baru,Rp 480 Juta,  20 m²,  40 m²
rumah cantik dan modern 2 lantai dekat tol andara pondok labu jakarta selatan,Rp 967 Juta,  35 m²,  68 m²
RUMAH CANTIK MADJA RESIDENCE PURI JAKARTA BARAT,Rp 6 Miliar,  121 m²,  304 m²
Rumah america clasic siap huni SHM furnised di dalam cluster Admiralty jakarta selatan,"Rp 10,3 Miliar",  322 m²,  300 m²
Tato Petojo Utara Rumah Siap Huni 204m SHM 2lt 2.5 M nego,"Rp 2,5 Miliar",  204 m²,  270 m²
ANA*RUMAH 3LT LUAS 4.6x16M JLN 1.MOBIL DI JELAMBAR - *GOOD-DEAL!!*,"Rp 1,85 Miliar",  73 m²,  158 m²
ANA*RUMAH DI KOMP. THI 3.5LT LUAS 7X20M LOKASI NYAMAN JELAMBAR - *GOOD-DEAL!!*,Rp 4 Miliar,  140 m²,  388 m²
ANA*RUMAH MURAH 3LT DI KAV.POLRI LUAS 15X14M2 LOKASI STRATEGIS BISA DAGANG JELAMBAR - *GOOD-DEAL!!*,"Rp 4,8 Miliar",  211 m²,  428 m²
ANA*RUMAH KOMP. DUTAMAS LUAS 7X19.5M SHM LOKASI BAGUS JELAMBAR - *GOOD-DEAL!!*,"Rp 2,7 Miliar",  136 m²,  108 m²
Australia 6x15 - Siap Huni!!!,"Rp 2,15 Miliar",  90 m²,  100 m²
Amerika 8x18 - Siap Nego!!,"Rp 3,25 Miliar",  144 m²,  120 m²
Australia 6x15 - Siap Huni!!!,"Rp 2,15 Miliar",  90 m²,  100 m²
Amerika 8x18 - Siap Nego!!,"Rp 3,25 Miliar",  144 m²,  120 m²
Asia 6x16 - Siap Nego!!,"Rp 2,1 Miliar",  96 m²,  100 m²
"RUMAH PIK, 3 LANTAI, SHM",Rp 13 Miliar,  360 m²,  550 m²
"Rumah Green Lake City, 2 lantai, SHM, Hadap Selatan, Bagus","Rp 3,3 Miliar",  120 m²,  126 m²
"Rumah Green Lake City 2 lantai, SHM",Rp 5 Miliar,  200 m²,  211 m²
"Rumah Green Lake City 2 lantai, SHM, Bagus","Rp 2,3 Miliar",  90 m²,  100 m²
"Rumah 2,5 Lantai Green Lake City Bagus, SHM","Rp 4,5 Miliar",  150 m²,  250 m²
"Rumah Green Lake City 2,5 Lantai, SHM, Bagus","Rp 3,9 Miliar",  135 m²,  200 m²
"Green Lake City 6x15, 2 lantai full bangunan","Rp 2,5 Miliar",  90 m²,  120 m²
"Rumah Mediterania PIK, 2 Lantai, SHM, Bagus","Rp 13,5 Miliar",  360 m²,  550 m²
"Rumah Amerika Latin Green Lake City 2 lantai bagus, SHM","Rp 6,6 Miliar",  180 m²,  250 m²
Green Lake City 3 Lantai hadap Utara Bagus,Rp 4 Miliar,  144 m²,  312 m²
"Green Lake City Eropa 250m², SHM 2,5 lantai, bagus","Rp 6,3 Miliar",  250 m²,  211 m²
"Green Lake City Amerika Latin Siap Huni!!
2,5 Lantai SHM Bagus","Rp 4,2 Miliar",  144 m²,  250 m²
Di jual murah rumah bgm pik 8x18 rapi terawat full renovasi n full bangunan siap huni,"Rp 6,7 Miliar",  144 m²,  300 m²
Chandra Rumah Murah Uk 4x21m di Jalan Raya Jelambar,"Rp 2,3 Miliar",  84 m²,  256 m²
" Rumah Dijual di Pondok Indah 5,3 M Luas 155 M2 Modern Minimalist Akses Jalan Lebar","Rp 5,3 Miliar",  155 m²,  260 m²
Chandra Rumah Bebas Banjir Uk 4x15m di Komplek Kavling Polri,"Rp 2,2 Miliar",  60 m²,  120 m²
Dijual Rumah Cantik Luxury Pondok Indah,Rp 20 Miliar,  353 m²,  606 m²
Chandra Rumah Murah Uk 4x21m di Jalan Raya Jelambar,"Rp 2,3 Miliar",  84 m²,  256 m²
" Rumah Dijual di Pondok Indah 5,3 M Luas 155 M2 Modern Minimalist Akses Jalan Lebar","Rp 5,3 Miliar",  155 m²,  260 m²
Chandra Rumah Bebas Banjir Uk 4x15m di Komplek Kavling Polri,"Rp 2,2 Miliar",  60 m²,  120 m²
Dijual Rumah Cantik Luxury Pondok Indah,Rp 20 Miliar,  353 m²,  606 m²
Chandra Rumah Lama Lt 526m2 di Komplek Kavling Polri Jelambar,Rp 13 Miliar,  526 m²,  526 m²
Chandra Rumah Uk 4.2x17m Jalan 3 Mobil di Jelambar,"Rp 2,8 Miliar",  72 m²,  201 m²
Chandra Rumah Semibaru Uk 4x8m di Jelambar,"Rp 1,4 Miliar",  32 m²,  96 m²
Chandra Rumah 2 Lantai Uk 12x16.5m di Jelambar,"Rp 4,3 Miliar",  198 m²,  310 m²
Rumah Cantik Luxury Area Pondok Indah,"Rp 18,5 Miliar",  353 m²,  606 m²
Chandra Rumah Bagus Dan Kokoh Uk 10x19.8m di Jelambar,Rp 6 Miliar,  192 m²,  592 m²
Chandra Rumah Uk 6.5x20m Lokasi Terbaik di Komplek Kavling Polri ,"Rp 2,85 Miliar",  130 m²,  195 m²
Chandra Rumah Lt 256m2 Lokasi Bagus di Komplek Dutamas,Rp 9 Miliar,  256 m²,  300 m²
Chandra Rumah 4 Lantai Uk 6x33m Jalan Raya di Kavling Polri Jelambar,"Rp 6,2 Miliar",  198 m²,  600 m²
Chandra Rumah 3.5 Lantai Uk 4x15m Lokasi Bagus di Jelambar,"Rp 2,05 Miliar",  60 m²,  132 m²
Chandra Rumah Murah Uk 4.3x15m Hadap Selatan di Jelambar,"Rp 1,95 Miliar",  64 m²,  150 m²
Chandra Rumah Uk 4x19m Lokasi Bagus di Jalan Raya Jelambar,"Rp 2,8 Miliar",  76 m²,  196 m²
Chandra Rumah Uk 4.6x16m di Jelambar,"Rp 1,85 Miliar",  73 m²,  151 m²
Chandra Rumah Bagus Uk 7x20m di Komplek Thi Jelambar,Rp 4 Miliar,  140 m²,  367 m²
Chandra Rumah Bagus Uk 15x14m Jalan Besar di Komplek Kavling Polri,"Rp 4,8 Miliar",  211 m²,  420 m²
Dijual Cepat Rumah Mewah Pik Full Furnish,"Rp 6,7 Miliar",  180 m²,  180 m²
Chandra Rumah Bagus Uk 7x20m di Komplek Thi Jelambar,Rp 4 Miliar,  140 m²,  367 m²
Chandra Rumah Bagus Uk 15x14m Jalan Besar di Komplek Kavling Polri,"Rp 4,8 Miliar",  211 m²,  420 m²
Dijual Cepat Rumah Mewah Pik Full Furnish,"Rp 6,7 Miliar",  180 m²,  180 m²
Chandra Rumah Lama Uk 7x19.5m di Komplek Dutamas ,"Rp 2,7 Miliar",  136 m²,  101 m²
Rumah Sultan Mewah PIK1 Johar Ada Kolam Renangnya,Rp 27 Miliar,  625 m²,  1000 m²
SANGAT MEWAH! Rumah Golf Island Full Renov dan Full Furnish,Rp 18 Miliar,  200 m²,  340 m²
"Rumah Mewah PIK1 Katamaran Indah, Boleh Nego Yaa",Rp 20 Miliar,  337 m²,  700 m²
"JUAL CEPAT - Rumah Layar Permai PIK, masih boleh nego","Rp 7,5 Miliar",  150 m²,  200 m²
Mewah! Cepat Rumah Bgm Pik1 Jalan Boulevard Full Renov,"Rp 15,5 Miliar",  300 m²,  500 m²
Dijual Rumah Puri Mansion Rapih Siap Huni,"Rp 5,5 Miliar",  150 m²,  150 m²
Dijual Cepat Rumah Green Lake City East Asia,"Rp 2,35 Miliar",  90 m²,  90 m²
BAGUSS! Renov Full Bangunan Rumah Green Lake City Amerika Latin,"Rp 4,5 Miliar",  144 m²,  360 m²
Dijual Cepat Jarang Ada Gading Kirana Minimalis Hanya Bawa Koper ,"Rp 5,9 Miliar",  140 m²,  220 m²
Rumah Mewah PIK Pantai Indah Kapuk American Classic 4 Lantai,Rp 35 Miliar,  325 m²,  10000 m²
Rumah Mewah Pik View Danau Pantai Indah Kapuk (1000m),Rp 85 Miliar,  1000 m²,  2800 m²
Rumah Mewah Taman Golf Timur Diamond Non View Golf Pik Pantai Indah Kapuk,Rp 115 Miliar,  1620 m²,  1500 m²
Lanjut Cicil - Rumah Manhattan Pik2 Brandnew (8X25M),"Rp 7,5 Miliar",  200 m²,  250 m²
"Jual Cepat Rumah Mewah Villa Permata Gading, Kelapa Gading.","Rp 8,4 Miliar",  247 m²,  500 m²
Rumah Mozart Golf Island View Golf ,Rp 19 Miliar,  360 m²,  360 m²
Rumah Golfisland Termurah Pantai Indah Kapuk,"Rp 5,1 Miliar",  150 m²,  150 m²
Rumah Mozart Golf Island View Golf ,Rp 19 Miliar,  360 m²,  360 m²
Rumah Golfisland Termurah Pantai Indah Kapuk,"Rp 5,1 Miliar",  150 m²,  150 m²
Dijual Rumah Garden House Pik Pantai Indah Kapuk,"Rp 10,5 Miliar",  250 m²,  250 m²
Dijual Rumah crown mansion pik double dekker,"Rp 6,5 Miliar",  136 m²,  136 m²
Rumah 2 Lantai dekat Perkantoran di Percetakan Negara Jakarta Pusat,Rp 972 Juta,  25 m²,  73 m²
Dijual Rumah Elite Mewah Marmer Lift View Danau Pantai Indah Kapuk,"Rp 35,3 Miliar",  574 m²,  1400 m²
Rumah Mewah The Mozart Signature View Golf Ada Lift,Rp 26 Miliar,  420 m²,  756 m²
"Jual Cepat Rumah Lama, Hitung Tanah, Pondok Indah, Jaksel","Rp 4,8 Miliar",  120 m²,  110 m²
"Butuh Cepat Terjual, Rumah di Komp Palem Asri,pdk Kelapa,jaktim","Rp 2,9 Miliar",  184 m²,  350 m²
"Jual Segera, Rumah Siap Huni, Menteng Bergaya Rumah Kolonial",Rp 45 Miliar,  500 m²,  490 m²
Apartemen Nice Garden Kelapa Gading 3 Bedroom,"Rp 2,2 Miliar",  131 m²,  128 m²
Termurah Rumah Golf Island Pantai Indah Kapuk 10x15 ,"Rp 5,1 Miliar",  150 m²,  203 m²
Termurah Rumah Golf Island Pantai Indah Kapuk 10x25 View Danau,"Rp 9,5 Miliar",  250 m²,  350 m²
Rumah Garden House Pantai Indah Kapuk Ada Pool Dan Sauna,"Rp 10,5 Miliar",  250 m²,  400 m²
Rumah cantik siap huni 2 lantai di Billymoon.Murah,"Rp 3,2 Miliar",  200 m²,  200 m²
"Rumah di Green Lake City , Amerika Latin 8x18 , Renov 2.5 Lantai ","Rp 4,15 Miliar",  144 m²,  250 m²
"Rumah di Green Lake City , Amerika Latin Uk. 10x18 , SHM , Utara","Rp 4,59 Miliar",  180 m²,  211 m²
